Feature,Importance
V14,0.19502902282418302
V10,0.11501623117880773
V12,0.09871437449916354
V4,0.09429523172690042
V17,0.0916783455640044
V16,0.05657613615452611
V11,0.056237827074180166
V3,0.05511177801964401
V2,0.03803760486506366
V9,0.025604396005592805
V7,0.016745577651897933
V21,0.015098673254494219
V8,0.01484965394588995
V18,0.014140472310515054
V1,0.011587381522851667
V27,0.011545251719901175
V19,0.010351355288597791
V5,0.00929288638718945
Amount,0.007703930910429715
V13,0.0073526446182298495
V26,0.006975748083694001
V20,0.00682782392039679
V15,0.006647169910936907
V6,0.005578679281273486
V28,0.005463017866869549
V24,0.004848899530500161
Time,0.004827687582720669
V25,0.004825931321842358
V23,0.004601997670758816
V22,0.00443426930894472
